every_date,cat,query,answer,correct,boundary,cluster
2024-06-01,A,皇玺集团控股国际有限公司的2023年第一季度报告中提到的公司主营业务是什么？,主要业务为在香港提供休闲餐饮服务及华贵钟表买卖。,1,1,1
2024-06-01,A,报告中提到的GEM是什么？,GEM是香港联合交易所有限公司的一个市场板块，为中小型公司提供上市的市场。,0,1,5
2024-06-01,A,投资GEM上市公司的股票存在哪些风险？,投资GEM的公司相比主板公司有更高的投资风险，可能承受更大的市场波动风险，且无法保证高流通量市场。,1,1,5
2024-06-01,A,皇玺集团在2023年第一季度的未经审核收益是多少？,约6.8百万港元。,1,1,1
2024-06-01,A,皇玺集团在2023年第一季度的未经审核亏损额是多少？,约4.7百万港元。,1,1,1
2024-06-01,A,皇玺集团在2023年第一季度的每股基本及摊薄亏损是多少？,0.18港仙。,1,1,1
2024-06-01,A,皇玺集团在2023年第一季度是否派发了股息？,没有，董事会决议不建议派发股息。,1,1,1
2024-06-01,A,皇玺集团的注册办事处地址是什么？,"Second Floor, Century Yard, Cricket Square, P.O. Box 902, Grand Cayman, KY1–1103, Cayman Islands。",0,1,3
2024-06-01,A,皇玺集团的主要营业地点在哪里？,香港九龙青山道489–491号香港工业中心A座6楼603室。,1,1,3
2024-06-01,A,皇玺集团的最终控股公司是哪一家？,Fortune Round Limited。,1,1,3
2024-06-01,A,皇玺集团的财务报表是否经过审计？,季度财务报表未经过集团核数师审核。,1,1,3
2024-06-01,A,皇玺集团的收益来源是什么？,所有收益均源自香港。,1,1,3
2024-06-01,A,皇玺集团在2023年第一季度的财务成本是多少？,约0.3百万港元。,1,1,8
2024-06-01,A,皇玺集团在2023年第一季度的所得税开支是多少？,约0.1百万港元。,1,1,8
2024-06-01,A,皇玺集团在2023年第一季度的员工成本是多少？,约4.2百万港元。,1,1,8
2024-06-01,A,皇玺集团在2023年第一季度的物业租金及相关开支是多少？,约1.0百万港元。,1,1,8
2024-06-01,A,皇玺集团在2023年第一季度的折旧开支是多少？,约1.0百万港元。,1,1,8
2024-06-01,A,皇玺集团在2023年第一季度的行政开支是多少？,约3.1百万港元。,1,1,8
2024-06-01,A,皇玺集团在2023年第一季度的毛利是多少？,约5.1百万港元。,0,1,1
2024-06-02,A,皇玺集团在2023年第一季度的毛利率是多少？,74.9%。,1,1,1
2024-06-02,A,皇玺集团在2023年第一季度的其他收入及其他收益或亏损是多少？,约0.1百万港元。,1,1,1
2024-06-02,A,皇玺集团在2023年第一季度的经营亏损是多少？,约4.6百万港元。,1,1,1
2024-06-02,A,皇玺集团在2023年第一季度的除税前亏损是多少？,约4.8百万港元。,1,1,1
2024-06-02,A,皇玺集团在2023年第一季度的期内亏损及全面亏损总额是多少？,约4.8百万港元。,0,1,1
2024-06-02,A,皇玺集团在2023年第一季度的资产负债比率是多少？,约115.3%。,1,1,1
2024-06-02,A,皇玺集团在2023年第一季度的现金及现金等价物是多少？,约18.5百万港元。,1,1,1
2024-06-02,A,皇玺集团在2023年第一季度的借贷总额是多少？,约18.8百万港元。,1,1,1
2024-06-02,A,皇玺集团在2023年第一季度的资本负债比率是多少？,约115.3%。,1,1,1
2024-06-02,A,皇玺集团在2023年第一季度的业务回顾中提到了哪些挑战？,疫情影响、香港政府实施的防疫措施、经济形势不明朗等。,0,1,1
2024-06-02,A,皇玺集团在2023年第一季度的业务回顾中提到了哪些策略？,成本控制措施、保守及审慎的业务策略、物色和探索其他商机。,1,1,1
2024-06-02,A,皇玺集团在2023年第一季度的业务回顾中提到了哪些餐厅品牌？,大呷台湾、度小月、和顺记神级鸡脾皇。,1,1,1
2024-06-02,A,皇玺集团在2023年第一季度的业务回顾中提到了哪些餐厅的开业和结业？,大呷台湾在2023年7月结业，度小月在2023年7月结业，和顺记神级鸡脾皇在2023年7月和8月开始营业。,1,1,1
2024-06-02,A,皇玺集团在2023年第一季度的财务回顾中提到了哪些收入变化？,收益减少约6.9%，主要由于疫情对现有餐厅的负面影响。,0,1,1
2024-06-02,A,皇玺集团在2023年第一季度的财务回顾中提到了哪些成本变化？,已售存货成本增加约13.3%，主要由于食品及饮料成本增加。,1,1,8
2024-06-02,A,皇玺集团在2023年第一季度的财务回顾中提到了哪些其他收入变化？,其他收入及其他收益或亏损减少，主要由于政府补助减少。,1,1,1
2024-06-02,A,皇玺集团在2023年第一季度的财务回顾中提到了哪些员工成本变化？,员工成本保持稳定。,1,1,8
2024-06-03,A,皇玺集团在2023年第一季度的财务回顾中提到了哪些折旧开支变化？,折旧开支保持稳定。,1,1,8
2024-06-03,A,皇玺集团在2023年第一季度的财务回顾中提到了哪些物业租金及相关开支变化？,物业租金及相关开支增加约400.0%。,1,1,8
2024-06-03,A,皇玺集团在2023年第一季度的财务回顾中提到了哪些燃料及公用设施开支变化？,燃料及公用设施开支增加约50.0%。,0,1,8
2024-06-03,A,皇玺集团在2023年第一季度的财务回顾中提到了哪些行政开支变化？,行政开支保持稳定。,1,1,8
2024-06-03,A,皇玺集团在2023年第一季度的财务回顾中提到了哪些财务成本变化？,财务成本保持稳定。,1,1,8
2024-06-03,A,皇玺集团在2023年第一季度的财务回顾中提到了哪些所得税开支变化？,所得税开支减少。,1,1,8
2024-06-03,A,皇玺集团在2023年第一季度的财务回顾中提到了哪些亏损变化？,亏损增加，主要由于其他收入及收益或亏损增加以及物业租金及相关开支增加。,1,1,1
2024-06-03,A,皇玺集团在2023年第一季度的财务回顾中提到了哪些上市所得款项用途？,所得款项净额约为41.3百万港元，已全部动用。,1,1,1
2024-06-03,A,皇玺集团在2023年第一季度的财务回顾中提到了哪些发行股份所得款项用途？,第一次配售所得款项净额约为29.84百万港元，第二次配售所得款项净额约为45.2百万港元。,1,1,1
2024-06-03,A,皇玺集团在2023年第一季度的财务回顾中提到了哪些资产抵押情况？,无抵押资产。,1,1,1
2024-06-03,A,皇玺集团在2023年第一季度的财务回顾中提到了哪些或然负债？,无任何重大或然负债。,1,1,1
2024-06-03,A,皇玺集团在2023年第一季度的财务回顾中提到了哪些报告期后事项？,位于中环的“大呷台湾”品牌餐厅及位于铜锣湾谢斐道的“度小月”品牌餐厅在2023年7月结业。,0,1,1
2024-06-03,A,皇玺集团在2023年第一季度的财务回顾中提到了哪些外汇风险？,由于大部分交易以港元及人民币结算，故无重大外汇风险。,1,1,1
2024-06-03,A,皇玺集团在2023年第一季度的财务回顾中提到了哪些库务政策及风险管理？,主要目标是寻求资本升值，短期内赚到非投机性的盈余资金。,1,1,1
2024-06-03,A,皇玺集团在2023年第一季度的财务回顾中提到了哪些主要风险及不明朗因素？,包括季节性波动、食材价格波动、最低工资提高、商业房地产租赁市场风险等。,0,1,1
2024-06-03,A,皇玺集团在2023年第一季度的财务回顾中提到了哪些展望？,继续巩固在香港市区经营食肆的地位，策略,1,1,1
2024-06-03,B,这篇报告的发布机构是哪家？,这篇报告由财通证券股份有限公司发布。,1,0,4
2024-06-03,B,报告的作者是谁？,报告的作者是刘洋。,0,0,4
2024-06-04,B,报告的SAC证书编号是什么？,SAC证书编号是S0160521120001。,0,0,4
2024-06-04,B,报告的发布日期是什么时候？,报告的发布日期是2024年5月14日。,0,0,4
2024-06-04,B,报告的投资评级是什么？,报告的投资评级是“看好(维持)”。,1,0,4
2024-06-04,B,报告中提到的酒店餐饮行业最近12个月的市场表现如何？,酒店餐饮行业最近12个月的市场表现比沪深300指数好，具体表现为7%的增长。,1,0,2
2024-06-04,B,报告中提到的酒店业绩的主要驱动因素是什么？,酒店业绩的主要驱动因素从2023年的RevPAR高增叠加规模扩张，转向2024Q1的拓店增长。,0,0,6
2024-06-04,B,报告中提到的餐饮行业的营收增长情况如何？,报告中提到的主要餐饮公司的营收增长符合预期。,1,0,7
2024-06-04,B,报告中提到的酒店板块的商旅需求情况如何？,报告中提到的酒店板块的商旅需求相对承压。,1,0,6
2024-06-04,B,报告中提到的餐饮板块的同店表现如何？,报告中提到的餐饮板块的同店表现相对韧性。,1,0,7
2024-06-04,B,报告中提到的投资建议是什么？,报告中的投资建议包括关注新开直营店经营数据提升、海外酒店资产盈利能力优化等因素，并建议关注特定的酒店和餐饮公司。,1,0,4
2024-06-04,B,报告中提到的风险提示有哪些？,报告中提到的风险提示包括拓店不及预期、商旅需求修复不及预期、直营店爬坡不及预期。,0,0,4
2024-06-04,B,报告中提到的酒店板块的业绩端表现如何？,报告中提到的酒店板块的业绩端表现相对分化。,0,0,6
2024-06-04,B,报告中提到的餐饮板块的盈利水平受哪些因素影响？,报告中提到的餐饮板块的盈利水平受新店爬坡、折扣活动力度加大、客单价下滑等因素影响。,0,0,7
2024-06-04,B,报告中提到的酒店板块的RevPAR增长情况如何？,报告中提到的酒店板块的RevPAR增长相对乏力。,1,0,6
2024-06-04,B,报告中提到的餐饮板块的龙头品牌表现如何？,报告中提到的餐饮板块的龙头品牌同店表现相对韧性。,1,0,7
2024-06-04,B,报告中提到的酒店板块的新开店情况如何？,报告中提到的酒店板块的新开店带动了营收增长。,0,0,6
2024-06-04,B,报告中提到的餐饮板块的扩张能力如何？,报告中提到的餐饮板块的龙头品牌的扩张能力被看好。,0,0,7
2024-06-04,B,报告中提到的酒店板块的海外利息费用情况如何？,报告中提到的酒店板块的锦江酒店受海外利息费用影响，扣非净利相对承压。,0,0,6
2024-06-05,B,报告中提到的餐饮板块的经营能力如何？,报告中提到的餐饮板块的经营能力相对突出，能够通过降本增效等手段减少消费降级和竞争加剧对盈利水平的影响。,1,0,7
2024-06-05,B,报告中提到的酒店板块的华住集团的业绩如何？,报告中提到的酒店板块的华住集团2024Q1的业绩指引相对积极。,1,0,6
2024-06-05,B,报告中提到的餐饮板块的海底捞的表现如何？,报告中提到的餐饮板块的海底捞具备持续扩张能力、运营能力突出以抵御消费降级影响。,0,0,7
2024-06-05,B,报告中提到的酒店板块的君亭酒店的业绩如何？,报告中提到的酒店板块的君亭酒店受益于休闲需求和中高端直营店增长，营收高增。,1,0,0
2024-06-05,B,报告中提到的餐饮板块的百胜中国的业绩如何？,报告中提到的餐饮板块的百胜中国同店销售额仍达到去年的97%，凸显经营韧性。,1,0,7
2024-06-05,B,报告中提到的酒店板块的锦江酒店的拓店目标如何？,报告中提到的酒店板块的锦江酒店的拓店目标维持较快增速。,0,0,9
2024-06-05,B,报告中提到的餐饮板块的瑞幸咖啡的门店增长情况如何？,报告中提到的餐饮板块的瑞幸咖啡门店环比净增2340家。,1,0,7
2024-06-05,B,报告中提到的酒店板块的首旅酒店的业绩如何？,报告中提到的酒店板块的首旅酒店一季度业绩超预期。,0,0,6
2024-06-05,B,报告中提到的餐饮板块的九毛九的业绩如何？,报告中提到的餐饮板块的九毛九2024Q1的营收和归母净利润均有所增长。,0,0,7
2024-06-05,B,报告中提到的酒店板块的金陵饭店的业绩如何？,报告中提到的酒店板块的金陵饭店2024Q1的营收和归母净利润均有所增长。,1,0,0
2024-06-05,B,报告中提到的餐饮板块的奈雪的茶的业绩如何？,报告中提到的餐饮板块的奈雪的茶2024Q1的营收增长，但归母净利润有所下降。,0,0,7
2024-06-05,B,报告中提到的酒店板块的亚朵的业绩如何？,报告中提到的酒店板块的亚朵2023年的营收和归母净利润均大幅增长。,1,0,6
2024-06-05,B,报告中提到的餐饮板块的同庆楼的业绩如何？,报告中提到的餐饮板块的同庆楼2024Q1的营收增长，但扣非净利润增长幅度弱于营收增速。,0,0,7
2024-06-05,B,报告中提到的酒店板块的集团的经营数据如何？,报告中提到的酒店板块的华住集团2024Q1的经营数据相对行业有超额。,1,0,6
2024-06-05,B,报告中提到的餐饮板块的海伦司的业绩如何？,报告中提到的餐饮板块的海伦司2024Q1的营收下降，但归母净利润大幅增长。,0,0,7
2024-06-05,B,报告中提到的酒店板块的锦江酒店的经营数据如何？,报告中提到的酒店板块的锦江酒店2024Q1的RevPAR同比下滑。,1,0,9
2024-06-05,B,报告中提到的餐饮板块的广州酒家的业绩如何？,报告中提到的餐饮板块的广州酒家2024Q1的营收和归母净利润均有所增长。,0,0,7
2024-06-05,B,报告中提到的酒店板块的首旅酒店的拓店情况如何？,报告中提到的酒店板块的首旅酒店2024Q1新开了205家店。,0,0,6
2024-06-05,B,报告中提到的餐饮板块的百胜中国的门店增长情况如何？,报告中提到的餐饮板块的百胜中国2024Q1净增门店378家。,0,0,7
2024-06-05,B,报告中提到的酒店板块的君亭酒店的拓店情况如何？,报告中提到的酒店板块的君亭酒店2024Q1新开了315家直营店。,1,0,0
2024-06-05,B,报告中提到的餐饮板块的瑞幸咖啡的同店增速如何？,报告中提到的餐饮板块的瑞幸咖啡2024Q1的同店增速为-20.3%。,1,0,7
2024-06-05,B,报告中提到的酒店板块的金陵饭店的经营数据如何？,报告中提到的酒店板块的金陵饭店2024Q1的RevPAR同比增长。,1,0,0
2024-06-06,B,报告中提到的餐饮板块的海底捞的经营策略是什么？,报告中提到的餐饮板块的海底捞通过降本增效手段维系经营利润率水平。,1,0,7
2024-06-06,B,报告中提到的酒店板块的华住集团的毛利率如何？,报告中提到的酒店板块的华住集团2023年的毛利率为34.5%。,0,0,6
2024-06-06,B,报告中提到的餐饮板块的九毛九的门店增长情况如何？,报告中提到的餐饮板块的九毛九没有具体的门店增长数据。,1,0,7
2024-06-06,B,报告中提到的酒店板块的亚朵的拓店情况如何？,报告中提到的酒店板块的亚朵2024Q1的拓店情况未具体提及。,1,0,6
2024-06-06,B,报告中提到的餐饮板块的同庆楼的门店增长情况如何？,报告中提到的餐饮板块的同庆楼2024Q1新开了2家富茂和1家餐饮。,0,0,7
2024-06-06,B,报告中提到的酒店板块的锦江酒店的归母净利润如何？,报告中提到的酒店板块的锦江酒店2024Q1的归母净利润为1.90亿元。,0,0,9
2024-06-06,B,报告中提到的餐饮板块的海伦司的门店增长情况如何？,报告中提到的餐饮板块的海伦司没有具体的门店增长数据。,0,0,7
2024-06-06,B,报告中提到的酒店板块的首旅酒店的毛利率如何？,报告中提到的酒店板块的首旅酒店2024Q1的毛利率为36.1%。,0,0,6
2024-06-06,A,皇玺集团控股国际有限公司的2023年第一季度报告中提到的公司主营业务是什么？,主要业务为在香港提供休闲餐饮服务及华贵钟表买卖。,1,1,1
2024-06-06,A,报告中提到的GEM是什么？,GEM是香港联合交易所有限公司的一个市场板块，为中小型公司提供上市的市场。,0,1,5
2024-06-06,A,投资GEM上市公司的股票存在哪些风险？,投资GEM的公司相比主板公司有更高的投资风险，可能承受更大的市场波动风险，且无法保证高流通量市场。,1,1,5
2024-06-06,A,皇玺集团在2023年第一季度的未经审核收益是多少？,约6.8百万港元。,1,1,1
2024-06-06,A,皇玺集团在2023年第一季度的未经审核亏损额是多少？,约4.7百万港元。,1,1,1
2024-06-06,A,皇玺集团在2023年第一季度的每股基本及摊薄亏损是多少？,0.18港仙。,1,1,1
2024-06-06,A,皇玺集团在2023年第一季度是否派发了股息？,没有，董事会决议不建议派发股息。,1,1,1
2024-06-06,A,皇玺集团的注册办事处地址是什么？,"Second Floor, Century Yard, Cricket Square, P.O. Box 902, Grand Cayman, KY1–1103, Cayman Islands。",0,1,3
2024-06-06,A,皇玺集团的主要营业地点在哪里？,香港九龙青山道489–491号香港工业中心A座6楼603室。,1,1,3
2024-06-06,A,皇玺集团的最终控股公司是哪一家？,Fortune Round Limited。,1,1,3
2024-06-06,A,皇玺集团的财务报表是否经过审计？,季度财务报表未经过集团核数师审核。,1,1,3
2024-06-06,A,皇玺集团的收益来源是什么？,所有收益均源自香港。,1,1,3
2024-06-06,A,皇玺集团在2023年第一季度的财务成本是多少？,约0.3百万港元。,1,1,8
2024-06-06,A,皇玺集团在2023年第一季度的所得税开支是多少？,约0.1百万港元。,1,1,8
2024-06-06,A,皇玺集团在2023年第一季度的员工成本是多少？,约4.2百万港元。,1,1,8
2024-06-07,A,皇玺集团在2023年第一季度的物业租金及相关开支是多少？,约1.0百万港元。,1,1,8
2024-06-07,A,皇玺集团在2023年第一季度的折旧开支是多少？,约1.0百万港元。,1,1,8
2024-06-07,A,皇玺集团在2023年第一季度的行政开支是多少？,约3.1百万港元。,1,1,8
2024-06-07,A,皇玺集团在2023年第一季度的毛利是多少？,约5.1百万港元。,0,1,1
